Winter,Boston,Chicago,NYC
1940-1941,47.8,52.5,39
1941-1942,23.9,29.8,11.3
1942-1943,45.7,45.2,29.5
1943-1944,27.7,24,23.8
1944-1945,59.2,34.9,27.1
1945-1946,50.8,23.9,31.4
1946-1947,19.4,34.1,30.6
1947-1948,89.2,38.1,63.2
1948-1949,37.1,14.3,46.6
1949-1950,32,33.8,13.8
1950-1951,29.7,54.4,11.6
1951-1952,31.9,66.4,19.7
1952-1953,29.8,23.4,15.1
1953-1954,23.6,43.2,15.8
1954-1955,25.1,32.2,11.5
1955-1956,60.9,26.3,33.5
1956-1957,52,31.3,21.9
1957-1958,44.7,20,44.7
1958-1959,34.1,41,13
1959-1960,40.9,50.9,39.2
1960-1961,61.5,40.7,54.7
1961-1962,44.7,58.9,18.1
1962-1963,30.9,42.7,16.3
1963-1964,63,35.2,44.7
1964-1965,50.4,59.5,24.4
1965-1966,44.1,24.9,21.4
1966-1967,60.1,68.4,51.5
1967-1968,44.8,28.4,19.5
1968-1969,53.8,29.4,30.2
1969-1970,48.8,77,25.6
1970-1971,57.3,37.9,15.5
1971-1972,47.5,46.8,22.9
1972-1973,10.3,32.9,2.8
1973-1974,36.9,58.3,23.5
1974-1975,27.6,52.2,13.1
1975-1976,46.6,43.3,17.3
1976-1977,58.5,54.1,24.5
1977-1978,85.1,82.3,50.7
1978-1979,27.5,89.7,29.4
1979-1980,12.5,42.4,12.8
1980-1981,22.3,35,19.4
1981-1982,61.8,59.3,24.6
1982-1983,32.7,26.6,27.2
1983-1984,43,49,25.4
1984-1985,26.6,39.1,24.1
1985-1986,18.1,29,13
1986-1987,42.5,26.2,23.1
1987-1988,52.6,42.6,19.1
1988-1989,15.5,24.5,8.1
1989-1990,39.2,33.8,13.4
1990-1991,19.1,36.7,24.9
1991-1992,22,28.4,12.6
1992-1993,83.9,46.9,24.5
1993-1994,96.3,41.8,53.4
1994-1995,14.9,24.1,11.8
1995-1996,107.6,23.9,75.6
1996-1997,51.9,40.6,10
1997-1998,25.6,29.6,5.5
1998-1999,36.4,50.9,12.7
1999-2000,24.4,30.3,16.3
2000-2001,45.9,39.2,35
2001-2002,15.1,31.1,3.5
2002-2003,70.9,28.6,49.3
2003-2004,39.4,24.8,42.6
2004-2005,86.6,39.4,41
2005-2006,39.9,26,40
2006-2007,17.1,35.6,12.4
2007-2008,51.2,60.3,11.9
2008-2009,65.9,52.7,27.6
2009-2010,35.7,54.2,51.4
2010-2011,81,57.9,61.9
2011-2012,9.3,19.8,7.4
2012-2013,63.4,30.1,26.1
2013-2014,58.9,82,57.4
2014-2015,110.6,50.7,50.3
2015-2016,36.2,31.2,32.1
